Timestamp,LatencyMs,Type
1764185886.875481,0.016689,Value
1764185886.880513,0.069380,Range
1764185886.880518,0.061512,Value
1764185886.880570,0.102043,Range
1764185886.880574,0.099659,Value
1764185886.880586,0.083685,Range
1764185886.885537,0.088215,Range
1764185886.885557,0.084877,Range
1764185886.885568,0.079870,Range
1764185886.885572,0.066996,Value
1764185886.885580,0.052929,Range
1764185886.890509,0.057220,Range
1764185886.890513,0.049591,Value
1764185886.890516,0.045061,Value
1764185886.890519,0.029087,Value
1764185886.890548,0.048637,Range
1764185886.895531,0.076294,Value
1764185886.895535,0.058174,Value
1764185886.895554,0.061750,Range
1764185886.895561,0.051260,Range
1764185886.895647,0.119686,Range
1764185886.900509,0.039101,Value
1764185886.900512,0.036478,Value
1764185886.900515,0.034809,Value
1764185886.900518,0.020981,Value
1764185886.900521,0.015736,Value
1764185886.905582,0.081539,Range
1764185886.905588,0.068665,Value
1764185886.905593,0.063658,Value
1764185886.905596,0.051498,Value
1764185886.905598,0.041485,Value
1764185886.910565,0.065327,Value
1764185886.910568,0.056982,Value
1764185886.910586,0.049353,Range
1764185886.910591,0.043154,Value
1764185886.910593,0.031710,Value
1764185886.915545,0.041723,Value
1764185886.915560,0.046253,Range
1764185886.915564,0.045061,Value
1764185886.915567,0.042677,Value
1764185886.915583,0.040770,Range
1764185886.920611,0.081539,Value
1764185886.920618,0.069141,Value
1764185886.920637,0.063181,Range
1764185886.920642,0.048399,Value
1764185886.920647,0.042439,Value
1764185886.925654,0.109196,Range
1764185886.925662,0.102520,Value
1764185886.925678,0.093699,Range
1764185886.925683,0.085592,Value
1764185886.925696,0.070810,Range
1764185886.930619,0.056982,Range
1764185886.930623,0.047445,Value
1764185886.930627,0.041723,Value
1764185886.930630,0.041246,Value
1764185886.930657,0.049114,Range
1764185886.935633,0.079393,Value
1764185886.935643,0.067234,Range
1764185886.935665,0.054836,Range
1764185886.935673,0.047445,Range
1764185886.935677,0.047922,Value
1764185886.940655,0.090599,Range
1764185886.940659,0.083685,Value
1764185886.940663,0.069380,Range
1764185886.940670,0.054598,Range
1764185886.940682,0.036716,Range
1764185886.945650,0.080347,Range
1764185886.945655,0.072241,Value
1764185886.945659,0.057220,Range
1764185886.945663,0.039339,Value
1764185886.945666,0.031471,Value
1764185886.950641,0.063658,Value
1764185886.950738,0.143528,Range
1764185886.950743,0.136375,Value
1764185886.950761,0.143051,Range
1764185886.950784,0.147104,Range
1764185886.955667,0.074387,Value
1764185886.955679,0.069857,Range
1764185886.955683,0.055790,Value
1764185886.955709,0.067472,Range
1764185886.955726,0.063658,Range
1764185886.960677,0.063896,Range
1764185886.960691,0.056982,Range
1764185886.960695,0.054598,Value
1764185886.960699,0.040054,Value
1764185886.960701,0.029564,Value
1764185886.965704,0.069857,Range
1764185886.965711,0.068665,Value
1764185886.965715,0.057697,Value
1764185886.965719,0.044584,Value
1764185886.965728,0.040770,Range
1764185886.970704,0.069380,Range
1764185886.970713,0.067472,Range
1764185886.970724,0.064850,Range
1764185886.970727,0.051022,Value
1764185886.970730,0.035524,Value
1764185886.975736,0.081539,Range
1764185886.975744,0.062466,Range
1764185886.975758,0.050545,Range
1764185886.975761,0.040531,Value
1764185886.975765,0.040054,Value
1764185886.980729,0.086784,Value
1764185886.980740,0.076532,Range
1764185886.980752,0.074625,Range
1764185886.980767,0.059128,Range
1764185886.980777,0.050545,Range
1764185886.985733,0.074148,Value
1764185886.985760,0.069380,Range
1764185886.985765,0.053644,Value
1764185886.985794,0.072002,Range
1764185886.985797,0.068665,Value
1764185886.990726,0.052452,Range
1764185886.990730,0.050306,Value
1764185886.990733,0.037432,Value
1764185886.990736,0.032663,Value
1764185886.990739,0.026464,Value
1764185886.995726,0.052214,Value
1764185886.995729,0.048161,Value
1764185886.995732,0.040770,Value
1764185886.995749,0.048399,Range
1764185886.995758,0.035524,Range
1764185887.000811,0.108480,Range
1764185887.000815,0.098228,Value
1764185887.000818,0.088692,Value
1764185887.000824,0.069380,Range
1764185887.000832,0.050783,Range
1764185887.005773,0.062943,Range
1764185887.005779,0.050068,Range
1764185887.005783,0.046492,Value
1764185887.005787,0.033140,Range
1764185887.005791,0.027657,Value
1764185887.010781,0.080585,Value
1764185887.010825,0.098467,Range
1764185887.010837,0.087023,Range
1764185887.010840,0.072718,Value
